market_side,timestamp_utc,price_yes_cents,price_no_cents,volume,taker_side,trade_id
SAM,2026-08-31T15:40:59.512618Z,19.0,81.0,24.9,yes,072139cd-6409-919c-a796-c8dbdf69e912
SAM,2026-08-31T18:29:07.053803Z,22.0,78.0,21.55,yes,80c05691-46e0-87f3-1204-495d4dd7e588
SAM,2026-08-31T19:19:53.350504Z,22.0,78.0,8.62,yes,80c057cb-6ca0-9c07-55dc-6385207e4c20
SAM,2026-08-31T20:28:09.774048Z,22.0,78.0,4.31,yes,80c054cd-6ca0-a2f3-75ed-a01d154ef784
SAM,2026-08-31T20:56:56.4301Z,22.0,78.0,8.62,yes,80c054b4-f500-8b83-819f-f05d40bc05a8
SAM,2026-08-31T21:08:45.395289Z,17.0,83.0,2.0,no,07213f3a-8c39-9369-2f16-ca513b35a858
SAM,2026-08-31T21:08:45.400247Z,16.0,84.0,2.0,no,07213f3a-f011-a293-1c2f-b1786a8253a1
SAM,2026-08-31T21:43:27.032297Z,22.0,78.0,43.1,yes,80c055de-9260-9d1b-d816-b55995fe6ab8
SAM,2026-08-31T21:54:20.049008Z,22.0,78.0,43.1,yes,80c05586-c980-aa43-9621-a569f931003c
SAM,2026-08-31T23:53:46.247754Z,10.0,90.0,30.0,no,07213d58-4e99-8ddd-713e-fe3829bdef79
SAM,2026-08-31T23:53:46.247754Z,12.0,88.0,35.0,no,072132e0-7139-89b9-7b43-cac46e1727ab
SAM,2026-08-31T23:53:46.247754Z,13.0,87.0,4.0,no,072132e0-7139-8616-72fa-b6f72e160ab0
SAM,2026-08-31T23:53:46.247754Z,13.0,87.0,31.0,no,072132e0-7139-82da-5eff-a3edcb1b2153
SAM,2026-08-31T23:53:46.247754Z,10.0,90.0,900.0,no,072131c6-d2c9-85d8-67bf-40eacb2455ca
SAM,2026-08-31T23:53:46.247754Z,11.0,89.0,300.0,no,072131c6-d2c9-84fc-6b2c-11aa2c2289b1
SAM,2026-08-31T23:53:46.247754Z,12.0,88.0,100.0,no,072131c6-d2c9-82fe-5396-6ff1cd22796a
SAM,2026-08-31T23:53:46.247754Z,10.0,90.0,20.0,no,0721310d-1b01-831d-5746-246cc6c2ee34
SAM,2026-08-31T23:55:55.511078Z,9.0,91.0,90.0,no,07213ca1-a939-b7cb-3b02-1f1f95bdc43a
SAM,2026-08-31T23:55:55.511078Z,9.0,91.0,55.0,no,0721333f-2a79-bf31-337a-0b7ee74dbaee
SAM,2026-08-31T23:56:28.276725Z,8.0,92.0,270.0,no,07213ca3-ad59-97bd-d1a7-7305bbe9bc0c
SAM,2026-08-31T23:56:28.276725Z,8.0,92.0,25.0,no,0721333d-6151-98c6-fd79-c7f0cfe34787
SAM,2026-08-31T23:56:38.973835Z,8.0,92.0,125.0,no,07213343-ee69-8c11-f544-0698165cdbc0
SAM,2026-08-31T23:56:38.973835Z,8.0,92.0,58.99,no,07213343-e251-83af-cd20-a67cbf21a0e0
SAM,2026-08-31T23:56:45.003703Z,7.0,93.0,285.65,no,ad384f00-3e33-b097-bc31-919a2d79529f
SAM,2026-08-31T23:58:45.55264Z,6.0,94.0,1.0,no,07213349-2d59-8b40-7aeb-187d2c885a57
SAM,2026-08-31T23:58:45.863586Z,6.0,94.0,1.0,no,07213349-2d59-9510-bdf9-d57ad850dc8b
SAM,2026-08-31T23:58:46.560931Z,5.0,95.0,1.0,no,3992638e-878d-b760-7eb8-b841847022f0
SAM,2026-09-01T00:00:28.829753Z,6.0,94.0,1.0,no,07213355-c0f9-aecf-5d56-1c95aaf5c710
SAM,2026-09-01T00:00:29.074817Z,6.0,94.0,1.0,no,07213355-d059-993f-eea5-3138ef6b014c
SAM,2026-09-01T00:00:29.508435Z,6.0,94.0,1.0,no,07213355-d059-8b9b-19ac-427fd8c02d2c
SAM,2026-09-01T00:00:29.926532Z,6.0,94.0,1.0,no,07213355-d059-b1bb-7c38-3f0d28151128
SAM,2026-09-01T00:00:31.387671Z,6.0,94.0,1.0,no,07213355-b119-a49f-390b-1a58edd5f9b8
SAM,2026-09-01T00:00:31.937885Z,6.0,94.0,1.0,no,07213355-b119-a1c7-3116-501a014b0058
SAM,2026-09-01T00:00:32.4251Z,6.0,94.0,1.0,no,07213355-8179-b85f-e0ac-aead9200aafc
SAM,2026-09-01T00:00:32.93776Z,6.0,94.0,1.0,no,07213355-8179-8d7b-6b8e-8ebb80f09f64
SAM,2026-09-01T00:00:34.563491Z,6.0,94.0,1.0,no,07213356-6639-891f-9000-6fae08dd0ce8
SAM,2026-09-01T00:00:34.943545Z,6.0,94.0,1.0,no,07213356-6639-848f-2bf0-6256c01f248c
SAM,2026-09-01T00:00:35.554934Z,6.0,94.0,1.0,no,07213356-7799-81eb-9b11-b5ec02a01038
SAM,2026-09-01T00:00:36.578671Z,6.0,94.0,1.0,no,07213356-47f9-8c1b-af16-619ab5dae500
SAM,2026-09-01T00:00:37.17461Z,6.0,94.0,1.0,no,07213356-5759-8bdb-58d7-3625109f235c
SAM,2026-09-01T00:00:38.158959Z,6.0,94.0,1.0,no,07213356-24b9-ae47-6c8b-ea1a43762870
SAM,2026-09-01T00:00:39.10962Z,6.0,94.0,1.0,no,07213356-3419-995f-b905-4c584879ce74
SAM,2026-09-01T00:00:39.6553Z,6.0,94.0,1.0,no,07213356-3419-b19f-7a6e-c67671eb4d6c
SAM,2026-09-01T00:00:40.003651Z,6.0,94.0,1.0,no,07213356-0479-8ac3-f422-31ca6103a654
SAM,2026-09-01T00:00:40.79513Z,6.0,94.0,1.0,no,07213356-0479-b0a7-2b6b-9cdacb3a30ac
SAM,2026-09-01T00:00:41.433089Z,6.0,94.0,1.0,no,07213356-15d9-ac07-acad-21ff3eb4f098
SAM,2026-09-01T00:00:42.017664Z,6.0,94.0,1.0,no,07213356-e539-a42b-6351-65bbcb5357a8
SAM,2026-09-01T00:00:42.320381Z,6.0,94.0,1.0,no,07213356-e539-a92b-72a0-81e2445f568c
SAM,2026-09-01T00:00:43.010718Z,6.0,94.0,1.0,no,07213356-ea99-8a5f-4bf6-27fc8740b9e4
SAM,2026-09-01T00:00:43.533425Z,6.0,94.0,1.0,no,07213356-ea99-a173-6138-24a7f0dc39b8
SAM,2026-09-01T00:00:43.791024Z,6.0,94.0,1.0,no,07213356-ea99-999f-d6e2-8db0a978544c
SAM,2026-09-01T00:00:44.599176Z,6.0,94.0,1.0,no,07213356-faf9-999f-b7b1-082a8959c6e8
SAM,2026-09-01T00:00:45.172478Z,6.0,94.0,1.0,no,07213356-ca59-bbbb-78b9-dde5fe1af530
SAM,2026-09-01T00:00:45.703173Z,6.0,94.0,1.0,no,07213356-ca59-9c97-0e68-2c8345ab4c20
SAM,2026-09-01T00:00:46.552625Z,6.0,94.0,1.0,no,07213356-dbb9-ac43-8516-391f026f8348
SAM,2026-09-01T00:00:46.872247Z,6.0,94.0,1.0,no,07213356-dbb9-9b7f-79ab-a669ee6b7404
SAM,2026-09-01T00:00:49.8077Z,6.0,94.0,1.0,no,07213356-88d9-a037-62d1-b6706548edf0
SAM,2026-09-01T00:00:50.38446Z,6.0,94.0,1.0,no,07213356-9839-a573-a343-8ee16f10bd94
SAM,2026-09-01T00:00:50.937304Z,6.0,94.0,1.0,no,07213356-9839-ab57-9090-485bea3fd38c
SAM,2026-09-01T00:00:51.439291Z,6.0,94.0,1.0,no,07213357-6999-8387-070c-fc0734d170fc
SAM,2026-09-01T00:00:51.99034Z,6.0,94.0,1.0,no,07213357-6999-bf83-53fa-88524f413490
SAM,2026-09-01T00:00:52.673911Z,6.0,94.0,1.0,no,07213357-79f9-872f-c39d-7ca08d72565c
SAM,2026-09-01T00:00:53.205312Z,6.0,94.0,1.0,no,07213357-4959-82eb-25b3-c1fc11ef3b08
SAM,2026-09-01T00:00:53.835963Z,6.0,94.0,1.0,no,07213357-4959-8173-7fac-4d966c68f398
SAM,2026-09-01T00:00:54.107726Z,6.0,94.0,1.0,no,07213357-5eb9-a4f3-a67c-b7dd1258056c
SAM,2026-09-01T00:00:55.120393Z,6.0,94.0,1.0,no,07213357-2e19-aa97-eec2-f976f19b95dc
SAM,2026-09-01T00:00:55.620689Z,6.0,94.0,1.0,no,07213357-2e19-9f53-d6b5-da83ce88ae20
SAM,2026-09-01T00:00:55.962271Z,6.0,94.0,1.0,no,07213357-2e19-8233-bc75-cf86ca1f66c8
SAM,2026-09-01T00:00:56.669493Z,6.0,94.0,1.0,no,07213357-3e79-8103-2aa7-79dee105f3cc
SAM,2026-09-01T00:00:56.994235Z,6.0,94.0,1.0,no,07213357-3e79-9cc7-ca30-b8320af8ebf4
SAM,2026-09-01T00:00:57.785731Z,6.0,94.0,1.0,no,07213357-0fd9-b617-60ff-2e9126cdc4ac
SAM,2026-09-01T00:00:58.052059Z,6.0,94.0,1.0,no,07213357-1f39-98f3-cb6c-a731138c04b4
SAM,2026-09-01T00:00:59.606023Z,6.0,94.0,1.0,no,07213357-ec99-8dc7-aae6-60d81b0e59d4
SAM,2026-09-01T00:01:00.144425Z,6.0,94.0,1.0,no,07213357-fcf9-817b-6e12-49874c3f6d04
SAM,2026-09-01T00:01:00.736866Z,6.0,94.0,5.0,no,07213357-fcf9-8b1f-3998-610867a92014
SAM,2026-09-01T00:01:01.735037Z,6.0,94.0,4.0,no,07213357-cc59-b753-3c8c-6540bf783f34
SAM,2026-09-01T00:01:02.024872Z,6.0,94.0,3.0,no,07213357-ddb9-8a33-8b11-2424f7c3274c
SAM,2026-09-01T00:01:02.362865Z,6.0,94.0,1.0,no,07213357-ddb9-889f-2dec-6d81f4fbdcd8
SAM,2026-09-01T00:01:02.839803Z,6.0,94.0,1.0,no,07213357-ddb9-ad3b-3069-0770f7dd037c
SAM,2026-09-01T00:01:03.730063Z,6.0,94.0,1.0,no,07213357-ad19-88db-207a-a76f300fbc14
SAM,2026-09-01T00:01:04.02078Z,6.0,94.0,1.0,no,07213357-bd79-9723-dbca-40b7e05ac104
SAM,2026-09-01T00:01:05.267835Z,6.0,94.0,1.0,no,07213357-82d9-924f-c151-b9201eb60514
SAM,2026-09-01T00:01:05.938955Z,6.0,94.0,1.0,no,07213357-82d9-8f47-cae5-9077dae4c530
SAM,2026-09-01T00:01:06.432072Z,6.0,94.0,1.0,no,07213357-9239-a993-9a64-41b262bf02d4
SAM,2026-09-01T00:01:06.86442Z,6.0,94.0,1.0,no,07213357-9239-a807-680f-e033037e9c90
SAM,2026-09-01T00:01:07.800189Z,6.0,94.0,1.0,no,07213350-6399-a763-4593-57383cceb698
SAM,2026-09-01T00:01:08.204155Z,6.0,94.0,1.0,no,07213350-73f9-ac33-3a05-1cec1a5225c4
SAM,2026-09-01T00:01:08.651305Z,6.0,94.0,1.0,no,07213350-73f9-bcaf-f043-f71a094db9d8
SAM,2026-09-01T00:01:09.823573Z,6.0,94.0,1.0,no,07213350-4359-9ba7-6f5e-32c1fe2adff8
SAM,2026-09-01T00:01:10.240954Z,6.0,94.0,1.0,no,07213350-50b9-a787-4353-c7138731c6f4
SAM,2026-09-01T00:01:10.764291Z,6.0,94.0,1.0,no,07213350-50b9-b19f-45e1-27113d4d7fcc
SAM,2026-09-01T00:01:11.36623Z,6.0,94.0,1.0,no,07213350-2019-bcdf-25a8-61e1d3c7c498
SAM,2026-09-01T00:01:11.736202Z,6.0,94.0,1.0,no,07213350-2019-8c87-dc76-c4d82e287abc
SAM,2026-09-01T00:01:12.031321Z,6.0,94.0,1.0,no,07213350-3079-9663-5757-3dd7183a2d0c
SAM,2026-09-01T00:01:12.862927Z,6.0,94.0,1.0,no,07213350-3079-bd0f-4bde-e431c5ee160c
SAM,2026-09-01T00:01:13.331825Z,6.0,94.0,1.0,no,07213350-01d9-9587-6db4-bc8fd3b5be30
SAM,2026-09-01T00:01:13.883997Z,6.0,94.0,1.0,no,07213350-01d9-90a7-368e-5fdc341c3918
SAM,2026-09-01T00:01:14.177015Z,6.0,94.0,1.0,no,07213350-1139-8d43-a997-62867536b070
SAM,2026-09-01T00:01:14.523753Z,6.0,94.0,1.0,no,07213350-1139-b32b-1879-d271f8fd6124
SAM,2026-09-01T00:01:15.753111Z,6.0,94.0,1.0,no,07213350-e699-9ef7-e384-8c2e1c6a259c
SAM,2026-09-01T00:01:16.245372Z,6.0,94.0,1.0,no,07213350-f6f9-806f-3687-5dcb244fa210
SAM,2026-09-01T00:01:16.942455Z,6.0,94.0,1.0,no,07213350-f6f9-8bc3-3aee-05afce54bf68
SAM,2026-09-01T00:01:17.264165Z,6.0,94.0,1.0,no,07213350-c659-9497-8c96-2290165436d8
SAM,2026-09-01T00:01:17.853649Z,6.0,94.0,1.0,no,07213350-c659-b4c7-c0c5-5fe882c416d0
SAM,2026-09-01T00:01:18.145122Z,6.0,94.0,1.0,no,07213350-d7b9-86d3-1b5c-74c0454235cc
SAM,2026-09-01T00:01:19.142774Z,6.0,94.0,1.0,no,07213350-a719-a9df-26f7-01a4b0171dac
SAM,2026-09-01T00:01:19.424261Z,6.0,94.0,1.0,no,07213350-a719-932b-01c9-e5f4624d0afc
SAM,2026-09-01T00:01:20.170312Z,6.0,94.0,1.0,no,07213350-b779-82cb-5e5a-484cde734910
SAM,2026-09-01T00:01:20.455705Z,6.0,94.0,1.0,no,07213350-b779-95e3-359f-4d046010dd5c
SAM,2026-09-01T00:01:20.976999Z,6.0,94.0,1.0,no,07213350-b779-9437-0e25-eccbda3bba5c
SAM,2026-09-01T00:01:21.465833Z,6.0,94.0,1.0,no,07213350-84d9-a2b7-f90e-af5307cb0ecc
SAM,2026-09-01T00:01:22.186215Z,6.0,94.0,1.0,no,07213350-9439-b8ff-45fa-17b7eb1ad5e8
