market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SAM,2026-08-28T02:00:00+00:00,,,,,7.0,23.0,0.0,6.28
SAM,2026-08-28T03:00:00+00:00,,,,,7.0,21.0,0.0,6.28
SAM,2026-08-28T04:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-28T05:00:00+00:00,,,,,7.0,17.0,0.0,6.28
SAM,2026-08-28T06:00:00+00:00,,,,,7.0,16.0,0.0,6.28
SAM,2026-08-28T07:00:00+00:00,,,,,7.0,12.0,0.0,6.28
SAM,2026-08-28T08:00:00+00:00,,,,,7.0,11.0,0.0,6.28
SAM,2026-08-28T10:00:00+00:00,,,,,7.0,10.0,0.0,6.28
SAM,2026-08-28T14:00:00+00:00,,,,,7.0,10.0,0.0,6.28
SAM,2026-08-28T15:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-28T20:00:00+00:00,,,,,7.0,19.0,0.0,6.28
SAM,2026-08-28T22:00:00+00:00,,,,,15.0,29.0,0.0,6.28
SAM,2026-08-28T23:00:00+00:00,,,,,11.0,30.0,0.0,6.28
SAM,2026-08-29T00:00:00+00:00,,,,,11.0,29.0,0.0,6.28
SAM,2026-08-29T01:00:00+00:00,,,,,10.0,29.0,0.0,6.28
SAM,2026-08-29T02:00:00+00:00,,,,,10.0,29.0,0.0,6.28
SAM,2026-08-29T04:00:00+00:00,,,,,13.0,23.0,0.0,6.28
SAM,2026-08-29T05:00:00+00:00,,,,,13.0,29.0,0.0,6.28
SAM,2026-08-29T06:00:00+00:00,,,,,14.0,29.0,0.0,6.28
SAM,2026-08-29T07:00:00+00:00,,,,,11.0,29.0,0.0,6.28
SAM,2026-08-29T08:00:00+00:00,,,,,11.0,29.0,0.0,6.28
SAM,2026-08-29T09:00:00+00:00,,,,,12.0,29.0,0.0,6.28
SAM,2026-08-29T10:00:00+00:00,,,,,10.0,29.0,0.0,6.28
SAM,2026-08-29T11:00:00+00:00,,,,,10.0,29.0,0.0,6.28
